Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Zwiększenie odporności firmy Jacek Matyjasik FIRMA HANDLOWOUSŁUGOWA poprzez rozszerzenie prowadzonej działalności o zapewnienie krótkotrwałego zakwaterowania w przyczepach kempingowych.,Jacek Matyjasik FIRMA HANDLOWO-USŁUGOWA,ZACHODNIOPOMORSKIE,Pyrzyce,Plac Wolności,3,74-200,507421.32
"Zwiększenie odporności firmy Ryszard Król PPHiUT „Róża Wiatrów” poprzez rozszerzenie działalności hotelowej o usługi udostępniania sali konferencyjnej w ramach regionu nr 1 kujawsko-pomorskie, pomorskie i zachodniopomorskie","Ryszard Król PPHiUT ""RÓŻA WIATRÓW""",ZACHODNIOPOMORSKIE,Jarosławiec,Słoneczna,10A,76-107,474000.01
Dywersyfikacja usług w BanGlob Sp. z o.o. sposobem na zabezpieczenie firmy na przyszłe kryzysy (jak np. pandemia) – Region 1,BanGlob Sp. z o.o.,POMORSKIE,Gdynia,Cypriana Kamila Norwida,4c,81-434,536843.7
Wprowadzenie nowych usług w domkach letniskowych AURUM w Pogorzelicy oraz BRYZA w Jarosławcu w woj. zachodniopomorskim,"""RED HOUSE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ZACHODNIOPOMORSKIE,Wrocław,Będzińska,13C,52-230,539991.58
Rozszerzenie i dywersyfikacja działalności prowadzonej przez Kredytplus Artur Żemło w regionie zachodniopomorskim w celu ograniczenia skutków kryzysu wywołanego przez COVID- 19,KREDYTPLUS ARTUR ŻEMŁO,ZACHODNIOPOMORSKIE,Wołczkowo,Słoneczna,22,72-003,522405.0
Zwiększenie odporności i konkurencyjności firmy Willa Lubicz Spółka z ograniczoną odpowiedzialnością na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności: REGION 1 - województwo pomorskie,Willa Lubicz Sp. z o.o.,POMORSKIE,Gdynia,Orłowska,43,81-522,103685.4
Wprowadzenie do oferty MNM Magdalena Karabon nowych usług w ośrodku wczasowym Grześ w Mikoszewie (Pomorze) .,"MAGDALENA KARABON ,,MNM""",POMORSKIE,Mikoszewo,Letnia,3,81-103,197234.48
"Uruchomienie nowych usług gastronomicznych „Deserownia” i ""Mix Śniadanko"" oraz wdrożenie innowacyjnej e-obsługi klienta poprzez uruchomienie kiosku multimedialnego w Restauracji Columbus w Szczecinie w województwie zachodniopomorskim","""PADAWA II"" GOLEMA DARIUSZ SPÓŁKA JAWNA",ZACHODNIOPOMORSKIE,Szczecin,Wały Chrobrego,6,70-500,396793.63
DYWERSYFIKACJA DZIAŁALNOŚCI BARU MLECZNEGO ZAKŁADKA POPRZEZ ŚWIADCZENIE NOWYCH USŁUG. WPROWADZENIE NOWEGO PRODUKTU I ZMNIEJSZENIE ŚLADU WEGLOWEGO W REGIONIE POMORSKIE,BAR MLECZNY ZAKŁADKA MACIEJ MODZELEWSKI BARBARA MODZELEWSKA SPÓŁKA CYWILNA,POMORSKIE,Rumia,Starowiejska,2,84-230,125372.06
Zwiększenie konkurencyjności oraz wprowadzenie nowych usług zwiększających ilość nowych gości w ośrodku Vacanza Park w Nowęcinie województwo pomorskie - region 1.,VACANZA PARK ZDZISŁAW WILCZYŃSKI,POMORSKIE,Nowęcin,Wczasowa,7,84-360,233515.5
"Uruchomienie nowych usług gastronomicznych „Deserownia” i ""Grill Steakhouse- sezonowanie mięs"" oraz wdrożenie innowacyjnej e-obsługi klienta poprzez uruchomienie kiosku multimedialnego w Colorado Steakhouse w Szczecinie w województwie zachodniopomorskim",PADAWA III Golema Dariusz Sp. J.,ZACHODNIOPOMORSKIE,Szczecin,Wały Chrobrego,5,70-500,272059.4
Zwiększenie odporności przedsiębiorstwa K5 Sp. z o. o. na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),K5 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Gdynia,Kłajpedzka,5c,81-533,539923.41
Dywersyfikacja działalności Amber Side poprzez wdrożenie mobilnych usług gastronomicznych z zachowaniem standardów ekologicznych i cyfryzacyjnych.,AMBER SIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Gdańsk,Żaglowa,11,80-560,473989.03
Zwiększenie odporności przedsiębiorstwa Kordian Różański MacroTech na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo kujawsko-pomorskie),Kordian Różański MacroTech,KUJAWSKO-POMORSKIE,Włocławek,Pogodna,3,87-800,514967.57
"Wygodna organizacja targów, konferencji i wystaw - rozszerzenie działalności przedsiębiorstwa WYGODA-CATERING NORKOWSKA Sp. j. na terenie województwa kujawsko-pomorskiego (Region 1)",WYGODA-CATERING NORKOWSKA SPÓŁKA JAWNA,KUJAWSKO-POMORSKIE,Kawęczyn,,1,87-123,66947.27
Rozszerzenie oferty Gościńca Krys w województwie kujawskopomorskim.,MAŁGORZATA ABRAMOWSKA ABMA-USŁUGI,KUJAWSKO-POMORSKIE,Żnin,Szpitalna,20g,88-400,414000.0
"Dywersyfikacja prowadzonej działalności poprzez wprowadzenie usług świadczenia zajęć sportowo-rekreacyjnych dla grup oraz osób indywidualnych, w tym dla osób ze specjalnymi potrzebami z wykorzystaniem interaktywnego programu gry terenowej w gminie Sierakowice w woj. pomorskim.","USŁUGI OGÓLNOBUDOWLANE ""KELLER"" KELLER WITOLD",POMORSKIE,Załakowo,,18,83-340,537177.13
"Rozszerzenie działalności firmy Casablanca na terenie Regionu 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie poprzez wprowadzenie nowych usług cateringu dla klientów B2B",CASABLANCA ABDELAZIZ TAJAR,POMORSKIE,Kwidzyn,Józefa Piłsudskiego,29,82-500,502702.2
Poszerzenie usług oraz unowocześnienie bazy Ośrodka Cztery Pory Roku szansą na wzmocnienie prowadzonej działalności w województwie zachodniopomorskim,"OŚRODEK WYPOCZYNKOWY ""CZTERY PORY ROKU"" ANNA SZCZUPAKOWSKA",ZACHODNIOPOMORSKIE,Dźwirzyno,Spacerowa,2a,78-131,473996.22
Rozszerzenie i dywersyfikacja działalności firmy „YARO” Spółka z ograniczoną odpowiedzialnością w sektorze usług noclegowych i gastronomicznych w Regionie 1”,„YARO” Spółka z ograniczoną odpowiedzialnością,KUJAWSKO-POMORSKIE,Bydgoszcz,Podwale,2,85-111,472450.34
"Wprowadzenie nowej usługi, polegającej na organizacji zajęć sportowych [m.in. z gry w padla] dla klientów indywidualnych, w nowym obiekcie sportowym w Gdańsku, w celu rozszerzenia oferty oraz zwiększenia odporności na sytuacje kryzysowe działalności SPORTGAST TOMÁŠ HRÁZSKÝ.",SPORTGAST TOMÁŠ HRÁZSKÝ,POMORSKIE,Sopot,Smolna,1d,81-877,425196.9
Dywersyfikacja działalności PT DIUNA Sp.j. poprzez rozbudowę bazy sportowej – budowę lekkiej hali sportowej w Ośrodku Wypoczynkowym DIUNA Darłówko woj. zachodniopomorskie.,"PRZEDSIĘBIORSTWO TURYSTYCZNE ""DIUNA"" SPÓŁKA JAWNA ROBERT LUBOMSKI, ANNA LUBOMSKA",ZACHODNIOPOMORSKIE,Będzin,Podwale,2,42-500,493830.0
"Dywersyfikacja i rozszerzenie działalności Hotelu Marusza o nową ofertę usługową wraz z transformacją cyfrową i ekologiczną firmy, zmierzającą do zwiększającą konkurencyjność i odporność na przyszłe kryzysy firmy w województwie kujawsko-pomorskim (Region 1)",Hotel Marusza Piotr Ponikowski,KUJAWSKO-POMORSKIE,Grudziądz,,12,86-300,528646.93
Podniesienie odporności przedsiębiorstwa Grupa Pomorska Spółka z ograniczoną odpowiedzialnością na sytuacje kryzysowe w wyniku rozszerzenia i dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),Grupa Pomorska Spółka z ograniczona odpowiedzialnością,POMORSKIE,Wiele,Główna,12,83-441,362145.6
Dywersyfikacja działalności firmy WeddingGarden Kamila Jelenković poprzez rozpoczęcie świadczenia nowych usług skierowanych do mieszkańców i gości woj. Pomorskiego (REGION 1),WeddingGarden Kamila Jelenković,POMORSKIE,Smołdzino,Tadeusza Kościuszki,5,76-214,539351.1
"Zwiększenie odporności na kryzysowe wyzwania i dywersyfikacja działalności kawiarnio-cukierni ""Strawa i Kawa"" zlokalizowanej w Kwidzynie w województwie Pomorskim","""UNIVERSUM"" DIANA BUGAJSKA",POMORSKIE,Kwidzyn,3 Maja,26,82-500,449940.0
"Inwestycja na terenie województwa Kujawsko-pomorskiego Region 1 w zwiększenie odporności przedsiębiorstwa oraz dywersyfikację produktów i usług w „Gościńcu pod Żaglami” w cichej oazie wypoczynku, nad brzegiem Wisły, poprzez dodanie usługi organizacji eventów plenerowych pod namiotem. Rozszerzenie usługi wypożyczalni sprzętu wodnego o nową usługę wypożyczanie supów oraz roweru wodnego celem przyciągnięcia nowych klientów.",",, Gościniec pod żaglami"" Mirosław Świerzyński",KUJAWSKO-POMORSKIE,Skoki Duże,,0,87-815,522813.66
Dywersyfikacja działalności Zofia Ollik ''Karczma w Kuźni '' i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług cateringowych - Region 1,Zofia Ollik ''Karczma w Kuźni,POMORSKIE,Brzeźno Szlacheckie,Szlachecka,66,77-139,223374.87
Uodpornienie działalności Pałacu Myśliwskiego Orle Solutions w województwie zachodniopomorskim poprzez dywersyfikację oferty usługowej wraz z zieloną i cyfrową transformacją,PAŁAC MYŚLIWSKI ORLE SOLUTIONS Jolanta Szulc,ZACHODNIOPOMORSKIE,Orle,,16,78-650,207194.0
Dywersyfikacja działalności Cross Travel s.c. poprzez wdrożenie w regionie kujawsko-pomorskim nowej usługi wypożyczania łodzi elektrycznych,"Cross Travel s.c. Sylwia Mik-Jacquot, Marek Utczinski",KUJAWSKO-POMORSKIE,Bydgoszcz,Królowej Jadwigi,18,85-231,509685.03
"Dywersyfikacja prowadzonej działalności hotelarskiej w Pałacu Poledno zlokalizowanym w województwie Kujawsko-Pomorski poprzez wdrożenie nowych usług polegających na udostępnieniu gościom stref rekreacji (sala kasyno, sala multimedialna) w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe oraz jego konkurencyjności.",Pałac Poledno Sp. z o.o.,KUJAWSKO-POMORSKIE,Poledno,,2,86-122,296936.04
Rozszerzenie i dywersyfikacja działalności P.W. „EWA” Ewa Nowak o sprzedaż w mobilnych punktach gastronomicznych w regionie kujawsko-pomorskim.,"Nowak Ewa PRZEDSIĘBIORSTWO-WIELOBRANŻOWE ""EWA""",KUJAWSKO-POMORSKIE,Łabiszyn,Plac 1000 lecia,4,89-210,539640.0
"Dywersyfikacja i rozwój firmy AS s.c. A. SIEMIENIAKO - T. SOBIECKI, mającej siedzibę w Nowogardzie woj. zachodniopomorskie, poprzez wprowadzenie nowych usług gastronomicznych oraz turystycznych.",AS s.c. A. SIEMIENIAKO - T. SOBIECKI,ZACHODNIOPOMORSKIE,Nowogard,Zielona,1,72-200,361417.63
"Rozszerzenie oferty Hotelu Czarna Róża w województwie kujawsko-pomorskim o usługę organizacji wystaw, konferencji i spotkań",Hotel Czarna Róża Karolina Kuś,KUJAWSKO-POMORSKIE,Toruń,Rabiańska,11,87-100,535077.0
Rozszerzenie oferty Restauracji Słoneczne Tarasy o usługi konferencyjne (Region 1 - kujawsko-pomorskie),RESTAURACJA SŁONECZNE TARASY Wiśniewski Dariusz,KUJAWSKO-POMORSKIE,Toruń,Kardynała Stefana Wyszyńskiego,19,87-100,179005.5
Wzmocnienie odporności i konkurencyjności przedsiębiorstwa poprzez poszerzenie zakresu oferty oraz podniesienie jakości usług - województwo pomorskie,Vegagastro Dariusz Krupa,POMORSKIE,Włynkówko,Miedziana,8,76-200,503959.35
Inwestycja na terenie województwa zachodniopomorskiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi w bufecie gastronomicznym przy Wydziale Nauk Społecznych Uniwersytetu Szczecińskiego - Artur Nowiński,Artur Nowiński,ZACHODNIOPOMORSKIE,Szczecin,Serdeczna,3,70-892,104731.44
"Rozszerzenie zakresu usług, optymalizacja systemów zarządzania oraz wprowadzenie nowych potraw w ""Bistro pod przykrywką"" w regionie 1 - w woj. zachodniopomorskim, w celu pozyskania szerszej grupy klientów i zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe.",Bistro pod przykrywką Kubiak Agnieszka,ZACHODNIOPOMORSKIE,Bezrzecze,Nowowiejska,15,71-219,539965.8
"Dywersyfikacja działalności przedsiębiorstwa ""ARARAT"" poprzez wdrożenie nowych usług na terenie województwa kujawsko-pomorskiego","""ARARAT"" Hrachya Khachatryan",KUJAWSKO-POMORSKIE,Grudziądz,Jaśminowa,42A,88-300,540000.0
Zwiększenie odporności przedsiębiorstwa INFOSHARE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji oraz rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie).,INFOSHARE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Gdańsk,al. Aleja Grunwaldzka,472B,80-309,332048.29
"Dywersyfikacja działalności firmy ""BIURO PODRÓŻNIKÓW FLUGO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ o usługi związane z wynajmem domków letniskowych w regionie 1 w województwie Kujawsko-Pomorskim","""BIURO PODRÓŻNIKÓW FLUGO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",KUJAWSKO-POMORSKIE,Bydgoszcz,Marii Curie Skłodowskiej,10,85-094,540000.0
"Dywersyfikacja działalności Habicon Group sp. zo.o. Sp. K w kierunku turystyki slow w Regionie 1, czyli w woj. pomorskim.",HABICON GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,POMORSKIE,Sopot,pl. Plac Rybaków,11,81-734,538150.5
Zwiększenie odporności przedsiębiorstwa „ELEPHANT CLUB” S.C na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),"""ELEPHANT"" CLUB s.c. Maria Bombka, Mateusz Bombka, Marcelina Bombka",POMORSKIE,Gdańsk,Długi Targ,41/42,80-830,242867.18
Zwiększenie odporności przedsiębiorstwa ODAN ODEJEWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),ODAN ODEJEWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Chojnice,Myśliboja,5,89-600,532463.9
Zwiększenie odporności na kryzysy firmy Rower Lover Andrzej Gołębiowski poprzez rozszerzenie działalności o wprowadzenie nowej usługi z zakresu rekreacji i odnowy biologicznej dzięki budowie Open Garden Spa w województwie pomorskim.,Rower Lover Andrzej Gołębiowski,POMORSKIE,Sopot,Grunwaldzka,52,81-771,540000.0
"Obsługa cateringowa firm, placówek edukacyjnych oraz osób indywidualnych w województwie kujawsko-pomorskim.",QLINARIA CATERING ANDRZEJ MRÓWCZYŃSKI,KUJAWSKO-POMORSKIE,Bydgoszcz,Fordońska,74,85-719,257034.72
"Rozwój firmy Ośrodek Wypoczynkowy SOSENKA, Sklep Obuwniczy ATAJ Teresa Grycz poprzez rozszerzenie działalności i rozwój nowych usług w regionie obejmującym województwo zachodniopomorskie.","Ośrodek Wypoczynkowy SOSENKA, Sklep Obuwniczy ATAJ Teresa Grycz",ZACHODNIOPOMORSKIE,Człopa,Sobieskiego,6,78-630,539999.75
"Dywersyfikacja działalności ASPIRIO Karolina Rucińska poprzez wprowadzenie nowej usługi wycieczek na rowerach elektrycznych z przewodnikiem, wypożyczalni rowerów elektrycznych oraz wynajmu apartamentu dla par w klimacie SPA Region 1 województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie”",Aspirio Karolina Rucińska,KUJAWSKO-POMORSKIE,Toruń,Wielkie Garbary,1,87-100,231543.83
"Dywersyfikacja i Rozszerzenie Działalności w Branży Eventowej. Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie,",Siemieniecki Michał ART4MEDIA,KUJAWSKO-POMORSKIE,Toruń,Strzałowa,17b,87-100,492059.7
Dywersyfikacja działalności firmy EWESA CREATIVE sp. z o.o. sp.k. poprzez wprowadzenie do oferty spółki organizacji targów oraz konferencji w województwie Pomorskim.,EWESA CREATIVE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,POMORSKIE,Gdańsk,Jarosza Henryka Derdowskiego,4,80-310,540000.0
Rozszerzenie i dywersyfikacja działalności firmy AM FOOD GROUP SPÓŁKA CYWILNA w sektorze usług noclegowych i cateringowych w Regionie nr 1,AM FOOD GROUP SPÓŁKA CYWILNA,KUJAWSKO-POMORSKIE,Bydgoszcz,Zygmunta Kuligowskiego,14,85-792,451001.84
"Rozszerzenie i dywersyfikacja usług świadczonych przez firmę Katarzyna Dobrzańska Park Hotel w oparciu o nowe i rozszerzone usługi, a także inwestycje w rozwiązania cyfrowe, proekologiczne i usługi rozwojowe podnoszące konkurencyjność firmy, zwiększające jej odporność na wypadek kolejnych kryzysów - realizowane w woj. kujawsko-pomorskim - Region 1",Katarzyna Dobrzańska Park Hotel,KUJAWSKO-POMORSKIE,Bydgoszcz,Wrocławska,3,85-211,437434.97
"Inwestycja w zwiększenie konkurencyjności oraz wprowadzenie nowych usług obiektu Marengo w Lubiatowie województwo pomorskie - region 1, dzięki którym ośrodek stanie się całoroczny i przyciągnie nowych klientów.",GABRIELA KRZYŻAK MARENGO WYNAJEM POKOI GOŚCINNYCH,POMORSKIE,Lubiatowo,Spacerowa,13,84-210,539516.16
Inwestycja polegająca na dywersyfikacji i rozszerzeniu działalności o usługi noclegowe i usługi restauracyjne prowadzona na terenie regionu 1 obejmującego województwo zachodniopomorskie.,"Jerzy Tice ""HATI"" Przedsiębiorstwo Usługowo-Turystyczne",ZACHODNIOPOMORSKIE,Czerwonak,Gdyńska,122,62-004,253466.51
Transformacja Leśnej Kuchni: Rozwój usług restauracyjnych i kateringowych w województwie kujawsko-pomorskim,LEŚNA KUCHNIA MARCELINA DOLATA,KUJAWSKO-POMORSKIE,Smerzyn,,88,89-210,312795.0
Zwiększenie odporności firmy na sytuacje kryzysowe poprzez dywersyfikację działalności w woj. kujawsko-pomorskim,DAMIAN ABRAMOWSKI ORGANIZACJA IMPREZ,KUJAWSKO-POMORSKIE,Żnin,Szpitalna,20G,88-400,479840.82
"Rozszerzenie działalności, celem zwiększenia odporności przedsiębiorstwa FOOD PASSION PIOTR PODKÓWKA na sytuacje kryzysowe, działającego do tej pory w branży restauracyjnej stacjonarnej oraz w organizacji eventów i spotkań, poprzez uruchomienie świadczenia nowej usługi w postaci cateringu wyspecjalizowanego na szeroką grupę klientów w branży hotelarskiej na terenie województwa pomorskiego",FOOD PASSION PIOTR PODKÓWKA,POMORSKIE,Gdańsk,Lazurowa,8,80-680,485795.7
"Wzmocnienie konkurencyjności firmy Łukasz Bruś Catering z siedzibą w Świeciu poprzez dostosowanie infrastruktury Restauracji „Przystań nad Wdą” oraz zakup wyposażenia. Przedsięwzięcie realizowane będzie w regionie 1 obejmującym województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",Łukasz Bruś Catering,KUJAWSKO-POMORSKIE,Borówno,,40,86-200,234400.5
Zwiększenie odporności spółki GĄSIENICA Sp. z o.o. z województwa kujawsko-pomorskiego na sytuacje kryzysowe poprzez rozszerzenie oferty produktowej restauracji Karczma Góralska o lody własnej produkcji i ciasta rzemieślnicze,"""GĄSIENICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",KUJAWSKO-POMORSKIE,Żołędowo,Szosa Gdańska,9,86-031,214155.3
Inwestycja w dywersyfikację działalności przedsiębiorstwa P.W. Krzysztof Lewandowski poprzez wprowadzenie nowej usługi w zakresie prowadzenia działalności gastronomicznej polegająca na uruchomieniu ruchomych placówek gastronomicznych (przyczep gastronomicznych) w regionie 1 (kujawsko-pomorskie),P.W. Krzysztof Lewandowski,Kujawsko-pomorskie,Bydgoszcz,,7,85-319,453600.0
"Dywersyfikacja działalności Przedsiębiorstwa Turystycznego ""ROMA"" poprzez unowocześnienie bazy usługowej i zmiany w oferowanym asortymencie produktów i usług w regionie pomorskim",Przedsiębiorstwo Turystyczne „ROMA” sp. z o.o.,POMORSKIE,Czapielsk,Fiołkowa,53,83-050,474000.0
Inwestycja w dywersyfikację działalności przedsiębiorstwa FIRMA HANDLOWO- USŁUGOWA AGROKOTLINA TORUŃSKA KATARZYNA KONCZEWSKA poprzez wprowadzenie nowej usługi w zakresie prowadzenia działalności gastronomicznej polegająca na uruchomieniu kawiarni w regionie 1 (kujawsko-pomorskie),FIRMA USŁUGOWO-HANDLOWA AGROKOTLINA TORUŃSKA KATARZYNA KONCZEWSKA,KUJAWSKO-POMORSKIE,Brzozówka,Morelowa,1,87-123,378000.0
"Dywersyfikacja działalności SPÓŁDZIELCZEGO CENTRUM REHABILITACYJNO-MEDYCZNE RESURS prowadzącego działalności w województwie zachodniopomorskim, poprzez wprowadzenie nowej i ulepszonej usługi, w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe, realizowana w Regionie 1: kujawsko-pomorskie, pomorskie, zachodniopomorskie",SPÓŁDZIELCZE CENTRUM REHABILITACYJNO-MEDYCZNE RESURS,ZACHODNIOPOMORSKIE,Wrocław,kard. Stefana Wyszyńskiego,96,50-307,481085.77
Organizacja obozów żeglarskich jako nowa usługa oferowania w Artech Plus Grzegorz Kądziela w województwie pomorskim,Artech Plus Grzegorz Kądziela,POMORSKIE,Kwidzyn,Mylna,7,82-500,303300.0
"Poszerzenie oferty turystycznej biura podróży w celu zwiększenia odporności i konkurencyjności na rynku, działanie w województwie kujawsko-pomorskim, w miejscowości Bydgoszcz","BIURO PODRÓŻY ""KRYSTAD"", ""OPEN FLY"" BIURO PODRÓŻY, PRZEDSIĘBIORSTWO WIELOBRANŻOWE KRYSTAD S. C. TADEUSZ OLSZEWSKI, KRYSTYNA OLSZEWSKA, TOMASZ OLSZEWSKI, WOJCIECH OLSZEWSKI",KUJAWSKO-POMORSKIE,Bydgoszcz,Marii Konopnickiej,44,85-124,169443.25
"Wydłużenie okresu działalności Pensjonatu ""Przyjaciół 13"" w Mielnie - z sezonowego na całoroczny, poprawa aspektów wizualnych budynku oraz wzbogacenie oferty dotyczącej pobytu gości. Region 1 - zachodniopomorskie.",AGNIESZKA KRZESIŃSKA - PORTAL NIERUCHOMOŚCI,ZACHODNIOPOMORSKIE,Bydgoszcz,Jana Karola Chodkiewicza,15,85-065,83656.0
